User_ID,Name,Age,Country,Platform,Usage_Hours_Per_Week,Subscription_Type,Satisfaction_Score,Tasks_Completed,Join_Date
1,User_1,56,Australia,Claude,27.41,Free,3.51,492,2023-12-07
2,User_2,46,Canada,Claude,28.4,Pro,1.0,478,2024-02-03
3,User_3,32,Australia,Claude,38.28,Free,1.07,78,2024-03-05
4,User_4,60,India,Claude,21.72,Free,2.56,367,2022-09-19
5,User_5,25,India,Gemini,16.59,Free,3.77,267,2023-05-02
6,User_6,38,Canada,Claude,38.19,Enterprise,3.78,177,2023-03-30
7,User_7,56,UK,Claude,26.04,Free,2.72,302,2023-03-19
8,User_8,36,Australia,Gemini,12.63,Free,3.76,383,2022-09-19
9,User_9,40,USA,Claude,5.93,Pro,3.08,58,2023-06-27
10,User_10,28,Canada,Claude,33.86,Free,4.91,259,2022-04-15
11,User_11,28,USA,Claude,15.13,Free,1.65,491,2024-09-26
12,User_12,41,Canada,Gemini,26.76,Enterprise,3.4,340,2022-12-16
13,User_13,53,UK,Claude,19.36,Pro,2.96,429,2024-04-03
14,User_14,57,UK,Gemini,8.76,Enterprise,1.78,84,2023-03-14
15,User_15,41,UK,Gemini,24.47,Enterprise,4.0,210,2024-09-07
16,User_16,20,UK,Claude,3.37,Enterprise,2.1,463,2022-06-18
17,User_17,39,India,Claude,17.12,Free,2.53,43,2024-01-18
18,User_18,19,India,Claude,22.32,Enterprise,2.5,323,2024-02-25
19,User_19,41,Australia,Claude,18.01,Enterprise,1.98,120,2022-12-09
20,User_20,61,USA,Gemini,30.2,Pro,2.72,430,2022-08-18
21,User_21,47,Canada,Claude,33.29,Pro,2.89,361,2022-01-23
22,User_22,55,Canada,Gemini,31.08,Pro,3.98,325,2024-09-14
23,User_23,19,India,Gemini,2.51,Pro,4.06,405,2023-11-07
24,User_24,38,Canada,Gemini,8.57,Enterprise,1.63,246,2022-10-08
25,User_25,50,India,Gemini,21.93,Pro,3.37,41,2023-06-03
26,User_26,29,Australia,Gemini,37.46,Free,4.58,218,2023-12-23
27,User_27,39,USA,Claude,33.56,Enterprise,1.44,141,2022-09-10
28,User_28,61,Australia,Gemini,33.86,Pro,2.89,115,2023-02-08
29,User_29,42,UK,Gemini,12.83,Enterprise,4.0,42,2022-05-13
30,User_30,44,UK,Claude,17.75,Pro,3.45,52,2022-10-01
31,User_31,59,UK,Claude,19.36,Enterprise,1.4,377,2023-09-10
32,User_32,45,Australia,Gemini,7.14,Pro,2.59,116,2022-08-20
33,User_33,33,Canada,Gemini,2.21,Free,3.03,274,2023-06-29
34,User_34,32,USA,Claude,37.93,Pro,4.98,235,2022-03-20
35,User_35,64,UK,Gemini,10.39,Enterprise,1.71,496,2022-02-04
36,User_36,61,UK,Claude,10.36,Enterprise,4.93,188,2023-05-10
37,User_37,20,UK,Claude,4.25,Free,2.5,231,2022-04-20
38,User_38,54,USA,Gemini,37.21,Enterprise,1.8,379,2022-11-17
39,User_39,24,UK,Claude,23.61,Free,2.66,134,2023-07-29
40,User_40,38,USA,Gemini,27.01,Enterprise,3.46,285,2024-09-07
41,User_41,26,UK,Gemini,36.55,Enterprise,1.85,176,2022-11-24
42,User_42,56,Australia,Gemini,14.48,Free,2.17,160,2024-08-24
43,User_43,35,Australia,Claude,25.24,Enterprise,4.42,50,2024-03-19
44,User_44,21,USA,Gemini,2.51,Enterprise,5.0,309,2023-11-21
45,User_45,42,Australia,Claude,8.28,Free,2.27,390,2023-01-19
46,User_46,31,USA,Gemini,33.42,Pro,1.6,44,2022-12-30
47,User_47,26,Australia,Gemini,30.9,Free,4.17,416,2022-08-20
48,User_48,43,Australia,Claude,14.68,Enterprise,3.4,323,2023-09-08
49,User_49,19,USA,Gemini,15.7,Pro,1.4,313,2023-02-18
50,User_50,37,Canada,Gemini,21.81,Pro,4.79,240,2022-10-21
51,User_51,45,Australia,Claude,1.01,Pro,1.31,224,2023-07-01
52,User_52,64,UK,Claude,10.41,Free,3.5,323,2023-12-07
53,User_53,24,Canada,Claude,9.12,Pro,2.7,110,2022-06-23
54,User_54,61,USA,Gemini,10.77,Pro,3.23,66,2023-01-27
55,User_55,25,Canada,Claude,32.43,Pro,1.85,224,2022-04-12
56,User_56,64,India,Claude,11.91,Enterprise,3.75,432,2024-04-15
57,User_57,52,India,Gemini,8.47,Free,4.84,165,2022-10-20
58,User_58,31,Australia,Claude,20.67,Free,2.83,73,2022-03-26
59,User_59,34,Australia,Gemini,34.76,Enterprise,3.09,71,2024-06-27
60,User_60,53,UK,Gemini,10.41,Pro,1.96,348,2022-07-20
61,User_61,57,Canada,Claude,4.06,Enterprise,4.57,378,2023-11-16
62,User_62,21,India,Gemini,14.9,Enterprise,4.88,377,2023-06-25
63,User_63,19,Australia,Claude,30.16,Pro,4.15,71,2022-10-24
64,User_64,23,Canada,Claude,22.48,Pro,3.17,103,2022-02-25
65,User_65,59,Australia,Claude,32.85,Free,4.83,478,2023-04-17
66,User_66,21,Australia,Claude,38.42,Pro,1.62,481,2022-01-16
67,User_67,46,India,Gemini,31.91,Enterprise,2.91,350,2023-10-14
68,User_68,35,India,Gemini,24.55,Enterprise,3.15,35,2022-03-07
69,User_69,43,Australia,Claude,20.24,Pro,2.97,444,2024-08-15
70,User_70,61,USA,Claude,2.56,Free,4.21,130,2023-10-21
71,User_71,51,Australia,Gemini,39.39,Enterprise,3.68,59,2023-11-01
72,User_72,27,Australia,Claude,15.96,Pro,1.51,380,2024-06-30
73,User_73,53,UK,Gemini,6.94,Free,2.39,261,2023-04-17
74,User_74,31,UK,Claude,27.0,Free,2.36,45,2024-06-27
75,User_75,48,UK,Gemini,12.09,Enterprise,3.26,419,2023-08-04
